Gene stable ID	NCBI gene ID	Gene name	Source of gene name	HGNC symbol
ENSG00000210049		MT-TF	HGNC Symbol	MT-TF
ENSG00000211459		MT-RNR1	HGNC Symbol	MT-RNR1
ENSG00000210077		MT-TV	HGNC Symbol	MT-TV
ENSG00000210082		MT-RNR2	HGNC Symbol	MT-RNR2
ENSG00000209082		MT-TL1	HGNC Symbol	MT-TL1
ENSG00000198888	4535	MT-ND1	HGNC Symbol	MT-ND1
ENSG00000210100		MT-TI	HGNC Symbol	MT-TI
ENSG00000210107		MT-TQ	HGNC Symbol	MT-TQ
ENSG00000210112		MT-TM	HGNC Symbol	MT-TM
ENSG00000198763	4536	MT-ND2	HGNC Symbol	MT-ND2
ENSG00000210117		MT-TW	HGNC Symbol	MT-TW
ENSG00000210127		MT-TA	HGNC Symbol	MT-TA
ENSG00000210135		MT-TN	HGNC Symbol	MT-TN
ENSG00000210140		MT-TC	HGNC Symbol	MT-TC
ENSG00000210144		MT-TY	HGNC Symbol	MT-TY
ENSG00000198804	4512	MT-CO1	HGNC Symbol	MT-CO1
ENSG00000210151		MT-TS1	HGNC Symbol	MT-TS1
ENSG00000210154		MT-TD	HGNC Symbol	MT-TD
ENSG00000198712	4513	MT-CO2	HGNC Symbol	MT-CO2
ENSG00000210156		MT-TK	HGNC Symbol	MT-TK
ENSG00000228253	4509	MT-ATP8	HGNC Symbol	MT-ATP8
ENSG00000198899	4508	MT-ATP6	HGNC Symbol	MT-ATP6
ENSG00000198938	4514	MT-CO3	HGNC Symbol	MT-CO3
ENSG00000210164		MT-TG	HGNC Symbol	MT-TG
ENSG00000198840	4537	MT-ND3	HGNC Symbol	MT-ND3
ENSG00000210174		MT-TR	HGNC Symbol	MT-TR
ENSG00000212907	4539	MT-ND4L	HGNC Symbol	MT-ND4L
ENSG00000198886	4538	MT-ND4	HGNC Symbol	MT-ND4
ENSG00000210176		MT-TH	HGNC Symbol	MT-TH
ENSG00000210184		MT-TS2	HGNC Symbol	MT-TS2
ENSG00000210191		MT-TL2	HGNC Symbol	MT-TL2
ENSG00000198786	4540	MT-ND5	HGNC Symbol	MT-ND5
ENSG00000198695	4541	MT-ND6	HGNC Symbol	MT-ND6
ENSG00000210194		MT-TE	HGNC Symbol	MT-TE
ENSG00000198727	4519	MT-CYB	HGNC Symbol	MT-CYB
ENSG00000210195		MT-TT	HGNC Symbol	MT-TT
ENSG00000210196		MT-TP	HGNC Symbol	MT-TP
ENSG00000262603	100505782	AC003958.5	Clone-based (Ensembl) gene	
ENSG00000274923		AC005296.1	Clone-based (Ensembl) gene	
ENSG00000262510	54143	LINC00308	NCBI gene	
ENSG00000271629		AC067959.1	Clone-based (Ensembl) gene	
ENSG00000088766	54675	CRLS1	HGNC Symbol	CRLS1
ENSG00000086475	22929	SEPHS1	HGNC Symbol	SEPHS1
ENSG00000174327	201232	SLC16A13	HGNC Symbol	SLC16A13
ENSG00000227255	644694	CDRT15P2	HGNC Symbol	CDRT15P2
ENSG00000260595		OR4C49P	HGNC Symbol	OR4C49P
ENSG00000173597	27284	SULT1B1	HGNC Symbol	SULT1B1
ENSG00000238280		AC067751.1	Clone-based (Ensembl) gene	
ENSG00000248491		AC093772.1	Clone-based (Ensembl) gene	
ENSG00000228340	284757	MIR646HG	HGNC Symbol	MIR646HG
ENSG00000228340	729296	MIR646HG	HGNC Symbol	MIR646HG
ENSG00000274536		AL034397.3	Clone-based (Ensembl) gene	
ENSG00000278279	11006	LILRB4	HGNC Symbol	LILRB4
ENSG00000275490		AC233263.2	Clone-based (Ensembl) gene	
ENSG00000133818	22800	RRAS2	HGNC Symbol	RRAS2
ENSG00000224569		AC095052.1	Clone-based (Ensembl) gene	
ENSG00000270960		AC106872.11	Clone-based (Ensembl) gene	
ENSG00000010319	56920	SEMA3G	HGNC Symbol	SEMA3G
ENSG00000251418		ASS1P8	HGNC Symbol	ASS1P8
ENSG00000237572		AC092001.1	Clone-based (Ensembl) gene	
ENSG00000253611		VN1R46P	HGNC Symbol	VN1R46P
ENSG00000267151		MIR2117HG	HGNC Symbol	MIR2117HG
ENSG00000241792		AC092958.2	Clone-based (Ensembl) gene	
ENSG00000188338	10991	SLC38A3	HGNC Symbol	SLC38A3
ENSG00000115386	5967	REG1A	HGNC Symbol	REG1A
ENSG00000262079		AC007638.1	Clone-based (Ensembl) gene	
ENSG00000224247		AJ009632.1	Clone-based (Ensembl) gene	
ENSG00000248645		AC106872.6	Clone-based (Ensembl) gene	
ENSG00000224758	103695432	LINC01167	HGNC Symbol	LINC01167
ENSG00000234207		AC096570.2	Clone-based (Ensembl) gene	
ENSG00000275628	107987066	AL590491.1	Clone-based (Ensembl) gene	
ENSG00000256826		ATP5MFP4	HGNC Symbol	ATP5MFP4
ENSG00000228999	105374322	AC096570.1	Clone-based (Ensembl) gene	
ENSG00000185972	881	CCIN	HGNC Symbol	CCIN
ENSG00000270694		AC211469.2	Clone-based (Ensembl) gene	
ENSG00000134571	4607	MYBPC3	HGNC Symbol	MYBPC3
ENSG00000205022	390748	PABPN1L	HGNC Symbol	PABPN1L
ENSG00000174564	53833	IL20RB	HGNC Symbol	IL20RB
ENSG00000224403		DPPA2P3	HGNC Symbol	DPPA2P3
ENSG00000225663	348262	MCRIP1	HGNC Symbol	MCRIP1
ENSG00000142627	1969	EPHA2	HGNC Symbol	EPHA2
ENSG00000243085		AL390726.1	Clone-based (Ensembl) gene	
ENSG00000177125	403341	ZBTB34	HGNC Symbol	ZBTB34
ENSG00000198373	11060	WWP2	HGNC Symbol	WWP2
ENSG00000164107	9464	HAND2	HGNC Symbol	HAND2
ENSG00000144401	151194	METTL21A	HGNC Symbol	METTL21A
ENSG00000277149	441250	TYW1B	HGNC Symbol	TYW1B
ENSG00000255199		GTF2IP11	HGNC Symbol	GTF2IP11
ENSG00000270999		IGKV1OR2-118	HGNC Symbol	IGKV1OR2-118
ENSG00000237667	339822	LINC01115	HGNC Symbol	LINC01115
ENSG00000229425	101927745	AJ009632.2	Clone-based (Ensembl) gene	
ENSG00000229425	105369302	AJ009632.2	Clone-based (Ensembl) gene	
ENSG00000237888		AC087650.1	Clone-based (Ensembl) gene	
ENSG00000255235		AP005435.4	Clone-based (Ensembl) gene	
ENSG00000256525	11232	POLG2	HGNC Symbol	POLG2
ENSG00000235430		ZSWIM5P1	HGNC Symbol	ZSWIM5P1
ENSG00000232903	101927590	LINC01166	HGNC Symbol	LINC01166
ENSG00000214146	647323	LINC02026	HGNC Symbol	LINC02026
ENSG00000267185		PTP4A2P1	HGNC Symbol	PTP4A2P1
ENSG00000272904		AL390726.3	Clone-based (Ensembl) gene	
ENSG00000285660		AC092958.3	Clone-based (Ensembl) gene	
